id,angle
505,228
506,334
507,45
508,235
509,316
510,38
511,218
512,199
513,110
514,11
515,162
516,213
517,168
518,28
519,214
520,19
521,46
522,256
523,225
524,133
525,102
526,142
527,273
528,191
529,315
530,106
531,251
532,36
533,232
534,32
535,53
536,304
537,305
538,109
539,130
540,207
541,126
542,136
543,314
544,286
545,285
546,305
547,279
548,324
549,309
550,114
551,301
552,14
553,9
554,95
555,298
556,333
557,130
558,175
559,152
560,314
561,125
562,244
563,336
564,335
565,42
566,299
567,241
568,234
569,74
570,354
571,29
572,306
573,211
574,176
575,71
576,32
577,89
578,255
579,3
580,193
581,24
582,249
583,113
584,304
585,153
586,69
587,3
588,303
589,139
590,259
591,140
592,85
593,44
594,11
595,126
596,50
597,345
598,201
599,106
600,127
601,333
602,74
603,213
604,130
605,134
606,315
607,263
608,18
609,115
610,314
611,108
612,289
613,10
614,353
615,308
616,64
617,158
618,20
619,20
620,293
621,115
622,232
623,324
624,233
625,204
626,18
627,339
628,48
629,92
630,124
631,129
632,232
633,232
634,18
635,211
636,141
637,81
638,185
639,92
640,47
641,268
642,99
643,316
644,160
645,246
646,0
647,231
648,130
649,282
650,329
651,263
652,314
653,129
654,93
655,246
656,133
657,160
658,25
659,38
660,331
661,172
662,287
663,351
664,218
665,169
666,95
667,142
668,41
669,310
670,220
671,232
672,174
673,246
674,248
675,132
676,153
677,211
678,145
679,98
680,260
681,190
682,207
683,165
684,6
685,203
686,343
687,128
688,304
689,66
690,228
691,109
692,295
693,188
694,235
695,186
696,359
697,22
698,308
699,28
700,216
701,139
702,250
703,184
704,346
705,224
706,338
707,109
708,193
709,165
710,114
711,171
712,261
713,190
714,157
715,246
716,139
717,297
718,129
719,206
720,85
721,244
722,198
723,30
724,39
725,263
726,342
727,49
728,221
729,208
730,333
731,131
732,216
733,44
734,43
735,270
736,219
737,266
