id,Latitude,Longitude
175,219659,143098
176,219956,142720
177,221222,142870
178,221261,142932
179,220781,143664
180,220620,143897
181,221075,143112
182,220827,143641
183,218437,143534
184,217873,144327
185,218337,143742
186,220958,143294
187,220559,143790
188,220981,143363
189,219444,141432
190,219589,141527
191,219757,141670
192,220323,142229
193,220262,142280
194,221015,142878
195,221322,142895
196,221174,143216
197,221064,143294
198,219552,143330
199,219810,143535
200,220160,144121
201,218919,144005
202,219158,143751
203,219027,143906
204,220363,142141
205,220969,142711
206,220376,142392
207,220205,142256
208,220144,142548
209,219864,142844
210,219206,143721
211,218942,143996
212,219022,143915
213,220141,141886
214,220049,141266
215,219784,141855
216,219678,143036
217,219728,143000
218,220029,142619
219,220681,143599
220,220963,143215
221,220831,143412
222,219599,143317
223,219764,142879
224,219658,143009
225,219312,144028
226,218991,144018
227,219338,143465
228,219763,144688
229,220011,144536
230,219837,144600
231,218966,143685
232,218310,143887
233,218986,143105
234,220463,143904
235,220363,143623
236,220226,143700
237,218745,140711
238,218731,140788
239,218694,140737
240,218700,143269
241,218635,143294
242,218193,144142
243,220019,142607
244,220167,142339
245,219894,142727
246,219114,145536
247,219640,144890
248,220153,144344
249,218746,140559
250,218605,140675
251,218805,140942
252,220465,144075
253,220001,144634
254,220389,144115
255,219206,143735
256,219099,143862
257,218907,144073
258,218048,144423
259,218424,143552
260,218049,144223
261,220287,143752
262,220092,143401
263,220487,143856
264,220660,143804
265,220779,143664
266,221480,142802
267,220621,142978
268,220740,142646
269,220939,142795
270,219522,145055
271,219749,144798
272,220128,144361
273,219412,143428
274,218952,143966
275,219160,143719
276,219940,144545
277,220103,144265
278,219510,145077
279,220183,143548
280,220358,143514
281,220532,143756
282,219594,144930
283,220281,144237
284,219678,144856
285,220227,144296
286,219168,145429
287,219745,144850
288,217932,144324
289,218289,144791
290,218051,144276
291,218386,143658
292,217957,144258
293,218088,144650
294,218920,144067
295,218870,144029
296,218534,144490
297,220414,144006
298,220047,144522
299,220049,144480
300,221353,142975
301,220951,142817
302,220605,142407
303,219821,144431
304,219873,143604
305,219660,143373
306,218726,144284
307,218850,144135
308,218385,144636
309,218226,144730
310,218195,143859
311,218308,144002
312,219665,143357
313,219983,144260
314,219800,144278
315,220415,143643
316,220191,143500
317,220367,143703
318,220800,143612
319,220739,143787
320,220929,143442
321,219722,141585
322,220136,142051
323,220013,141679
324,218599,140709
325,218829,140767
326,218858,140804
327,218627,143433
328,218469,143558
329,218211,144775
330,218476,143565
331,217921,144357
332,218749,143287
333,220806,143656
334,220491,143954
335,220674,143783
336,219693,142990
337,220001,143357
338,220214,142408
339,219961,144583
340,219861,144675
341,219868,144644
342,219871,141416
343,220065,142028
344,219873,141776
345,220090,144080
346,219530,145013
347,219522,145037
348,219685,141660
349,218998,143990
350,219405,141362
351,220952,142871
352,220560,142475
353,220303,142215
354,219522,141471
355,219339,141246
356,219231,141158
357,219266,141283
358,219505,141427
359,219729,141645
360,219141,143720
361,218937,143945
362,218974,143916
363,219096,143915
364,219095,143857
365,219228,143723
366,218434,144662
367,218667,144278
368,218633,144425
369,219616,144953
370,219496,144999
371,219860,144681
372,220143,141892
373,220370,142077
374,219810,141593
375,219664,143265
376,219935,144267
377,219767,143484
378,219829,142828
379,219917,142591
380,220155,142476
381,219537,141408
382,218972,141074
383,219627,141709
384,219402,145331
385,219541,145044
386,219663,144979
387,221124,143108
388,220802,143503
389,221061,143011
390,220132,144345
391,219520,145157
392,219589,145011
393,218650,144328
394,218562,144465
395,218861,144081
396,221461,142586
397,220910,143452
398,221597,142599
399,218273,144772
400,218772,145260
401,219056,145553
402,220826,143420
403,220748,143573
404,220756,143525
405,221125,143023
406,221035,143178
407,221240,143055
408,218625,144994
409,218414,144942
410,218680,145003
411,220335,142236
412,220096,142423
413,219824,142850
414,220146,143781
415,220013,143672
416,220307,143988
417,220690,142554
418,220753,142708
419,220496,142421
420,218986,143976
421,219042,143957
422,218948,143967
423,220296,142290
424,220580,142389
425,220997,143076
426,219912,141868
427,219873,141919
428,219935,141800
429,220253,144275
430,219782,144787
431,220404,144074
432,220212,144083
433,219931,144280
434,220098,144116
435,218835,140955
436,219404,141391
437,219091,141124
438,220312,144076
439,220406,143909
440,220026,143739
441,220306,142203
442,220343,142244
443,219918,141965
444,218660,144379
445,218702,144293
446,218610,144442
447,218611,144481
448,218718,144305
449,218503,144589
450,218580,144441
451,218569,144496
452,218523,144551
453,218774,145056
454,218491,145038
455,218473,145011
456,218244,144712
457,218461,143495
458,217991,144402
459,220459,143687
460,220527,143916
461,220014,143591
462,219916,141573
463,220045,141943
464,219915,141512
465,219451,141375
466,218897,140919
467,219009,141000
468,221157,143037
469,221232,143081
470,221387,142865
471,219788,144559
472,219854,144249
473,219876,143621
474,218580,145161
475,219342,145628
476,219251,145789
477,219035,145533
478,219813,144732
479,219849,144628
480,220101,141975
481,220024,141925
482,219815,141768
483,218565,145100
484,218841,145368
485,218651,145245
486,220958,143288
487,220053,144437
488,220836,143606
489,220200,143694
490,220487,143768
491,220610,143715
492,219867,144313
493,220307,144075
494,219997,143691
495,219153,145410
496,219773,144678
497,220055,144460
498,218555,144499
499,218956,144053
500,218848,144207
501,218885,144100
502,218992,144044
503,219275,143569
504,221513,142675
505,221347,142837
506,221056,143120
507,219171,145577
508,218252,144692
509,218769,145519
510,218192,143830
511,217931,144477
512,219457,143746
513,220515,142410
514,220993,143013
515,221083,142955
516,219806,144121
517,219631,143252
518,220093,143731
519,221226,143026
520,220688,143891
521,220898,143472
522,218971,141032
523,219651,141613
524,219498,141423
526,220984,143468
527,221470,142746
531,218505,145005
532,219178,144679
533,218957,145016
534,218792,143143
535,218340,144787
536,218510,143574
537,218672,144322
538,218663,144347
539,218780,144204
540,219907,141877
541,219869,141604
542,219922,141882
543,220081,142505
544,219833,142912
545,220113,142491
546,221486,142698
547,221147,143094
548,221496,142649
549,220469,143751
550,220929,142927
551,221163,143029
552,218309,143719
553,218243,144804
554,218861,143035
555,220593,143742
556,221135,143173
557,220867,143433
558,219110,141134
559,219046,141114
560,219476,141671
561,220537,142439
562,221052,142794
563,220530,142381
564,221149,143046
565,221053,143194
566,221559,142632
567,219920,144295
568,219961,143685
569,219894,144221
570,219179,143740
571,219432,143436
572,219271,143489
573,220495,142384
574,220489,143694
575,220800,142616
576,220134,142623
577,219645,143104
578,220118,142251
579,219127,143777
580,219345,143547
581,218979,143944
582,220278,142172
583,219903,141812
584,219947,141563
585,219655,142982
586,220403,142406
587,219730,143065
588,220650,143615
589,220589,143765
590,220639,143695
591,220179,142432
592,219811,142951
593,219822,142898
594,218894,144110
595,219070,143876
596,219228,143633
597,219930,144497
598,219775,144753
599,219047,145438
600,218235,144700
601,217885,144281
602,218076,144701
603,220170,143661
604,220353,143983
605,220182,143633
606,218628,140627
607,218613,140736
608,218668,140791
609,217901,144564
610,218212,144586
611,218376,143615
612,219904,142912
613,220073,142531
614,219620,143103
615,220351,144126
616,219915,144539
617,220171,144295
618,218566,140790
619,219413,143264
620,218610,140509
621,219586,144919
622,220535,143965
623,219493,145090
624,219079,143841
625,219235,143703
626,218938,144003
627,218951,143085
628,218098,143951
629,218982,143253
630,220360,143631
631,220498,143894
632,220347,143739
633,221459,142846
634,221081,143208
635,220809,143633
636,220445,142387
637,220512,142987
638,220945,142719
639,219738,144761
640,220289,144316
641,219921,144615
642,219221,143644
643,218969,144015
644,219108,143804
645,219761,144774
646,220240,144253
647,219950,144665
648,220126,143630
649,220624,143895
650,220387,143627
651,219377,145124
652,219200,145514
653,219791,144576
654,219484,145156
655,220075,144501
656,219794,144743
657,218053,144348
658,218754,143245
659,218490,143691
660,218029,144112
661,217927,144215
662,218215,144705
663,218499,144543
664,218546,144456
665,218530,144505
666,220028,144516
667,220240,144225
668,219921,144607
669,220292,142272
670,220476,142371
671,220314,142173
672,220141,143999
673,219896,144238
674,220047,143719
675,218509,144487
676,218677,144357
677,218626,144360
678,218110,144718
679,218623,143437
680,218055,144654
681,220247,144302
682,219838,143544
683,220295,144077
684,220201,143708
685,220316,143688
686,220522,143811
687,221004,143378
688,221531,142652
689,221012,143392
690,219416,142755
691,220069,142023
692,219874,141615
693,218647,140765
694,218784,140739
695,218839,140712
696,218476,143608
697,218572,143320
698,218203,144755
699,218055,144170
700,218182,143918
701,217881,144401
702,220655,143801
703,220134,143793
704,220119,143823
705,220016,142632
706,219864,142187
707,219757,142867
708,220022,144449
709,219789,144791
710,219546,145107
711,219975,141675
712,219895,141605
713,219852,141716
714,219446,145160
715,219545,144936
716,219492,145116
717,219387,141459
718,219560,141435
719,219732,141546
720,220255,142449
721,221002,143059
722,220813,142652
723,219170,141159
724,219085,141085
725,219103,141062
726,219580,141574
727,219488,141451
728,219077,141179
729,219146,143801
730,219416,143444
731,219307,143512
732,219152,143787
733,219672,143492
734,218976,144061
735,218730,144236
736,218527,144487
737,218870,144038
525,221626,135367
528,38336,258
529,38254,145
530,38312,226
